filename,SITE,Latitude,Longitude
DSCN6976.jpg,AN 3,29.10377,-89.23895
DSCN6977.jpg,AN 3,29.10377,-89.23895
DSCN6979.jpg,RD 12,29.07561,-89.30251
DSCN6980.jpg,RD 12,29.07561,-89.30251
DSCN6981.jpg,RD 12,29.07561,-89.30251
DSCN6982.jpg,RD 12,29.07561,-89.30251
DSCN6983.jpg,RD 12,29.07561,-89.30251
DSCN6984.jpg,RD 12,29.07561,-89.30251
DSCN6985.jpg,RD 12,29.07561,-89.30251
DSCN6986.jpg,AN 3,29.10377,-89.23895
DSCN6987.jpg,RD 12,29.07561,-89.30251
DSCN6988.jpg,RD 12,29.07561,-89.30251
DSCN6989.jpg,AN 3,29.10377,-89.23895
DSCN6990.jpg,RD 12,29.07561,-89.30251
DSCN6991.jpg,AN 3,29.10377,-89.23895
DSCN6992.jpg,AN 3,29.10377,-89.23895
DSCN6993.jpg,AN 3,29.10377,-89.23895
DSCN6994.jpg,AN 3,29.10377,-89.23895
DSCN6995.jpg,RD 11,29.04263,-89.32935
DSCN6996.jpg,AN 3,29.10377,-89.23895
DSCN6997.jpg,RD 11,29.04263,-89.32935
DSCN6998.jpg,RD 11,29.04263,-89.32935
DSCN6999.jpg,RD 11,29.04263,-89.32935
DSCN7000.jpg,RD 11,29.04263,-89.32935
DSCN7001.jpg,RD 11,29.04263,-89.32935
DSCN7002.jpg,AN 3,29.10377,-89.23895
DSCN7003.jpg,RD 11,29.04263,-89.32935
DSCN7004.jpg,LM1,29.23061,-89.25949
DSCN7005.jpg,RD 11,29.04263,-89.32935
DSCN7006.jpg,LM1,29.23061,-89.25949
DSCN7007.jpg,LM1,29.23061,-89.25949
DSCN7008.jpg,LM1,29.23061,-89.25949
DSCN7009.jpg,RD 11,29.04263,-89.32935
DSCN7010.jpg,RD 11,29.04263,-89.32935
DSCN7011.jpg,LM1,29.23061,-89.25949
DSCN7012.jpg,LM1,29.23061,-89.25949
DSCN7013.jpg,LM1,29.23061,-89.25949
DSCN7014.jpg,JC 7,29.13588,-89.19337
DSCN7015.jpg,LM1,29.23061,-89.25949
DSCN7016.jpg,LM1,29.23061,-89.25949
DSCN7017.jpg,LM1,29.23061,-89.25949
DSCN7018.jpg,JC 7,29.13588,-89.19337
DSCN7019.jpg,JC 2.1,29.1641,-89.16682
DSCN7020.jpg,JC 2.1,29.1641,-89.16682
DSCN7021.jpg,JC 2.1,29.1641,-89.16682
DSCN7022.jpg,JC 7,29.13588,-89.19337
DSCN7023.jpg,JC 2.1,29.1641,-89.16682
DSCN7024.jpg,JC 7,29.13588,-89.19337
DSCN7025.jpg,JC 2.1,29.1641,-89.16682
DSCN7026.jpg,JC 7,29.13588,-89.19337
DSCN7027.jpg,JC 2.1,29.1641,-89.16682
DSCN7028.jpg,JC 7,29.13588,-89.19337
DSCN7029.jpg,JC 2.1,29.1641,-89.16682
DSCN7030.jpg,JC 7,29.13588,-89.19337
DSCN7031.jpg,JC 2.1,29.1641,-89.16682
DSCN7032.jpg,JC 2.1,29.1641,-89.16682
DSCN7033.jpg,JC 7,29.13588,-89.19337
DSCN7034.jpg,JC 2.1,29.1641,-89.16682
DSCN7035.jpg,JC 7,29.13588,-89.19337
DSCN7036.jpg,JC 7,29.13588,-89.19337
DSCN7037.jpg,RD 16,29.21217,-89.34052
DSCN7038.jpg,RD 15,29.18893,-89.30386
DSCN7039.jpg,RD 15,29.18893,-89.30386
DSCN7040.jpg,RD 15,29.18893,-89.30386
DSCN7041.jpg,RD 16,29.21217,-89.34052
DSCN7042.jpg,RD 16,29.21217,-89.34052
DSCN7043.jpg,RD 15,29.18893,-89.30386
DSCN7044.jpg,RD 16,29.21217,-89.34052
DSCN7045.jpg,RD 16,29.21217,-89.34052
DSCN7046.jpg,RD 16,29.21217,-89.34052
DSCN7047.jpg,RD 16,29.21217,-89.34052
DSCN7048.jpg,RD 15,29.18893,-89.30386
DSCN7049.jpg,RD 16,29.21217,-89.34052
DSCN7050.jpg,RD 16,29.21217,-89.34052
DSCN7051.jpg,RD 16,29.21217,-89.34052
DSCN7052.jpg,RD 15,29.18893,-89.30386
DSCN7053.jpg,RD 15,29.18893,-89.30386
DSCN7054.jpg,LM3,29.23283,-89.1853
DSCN7055.jpg,RD 15,29.18893,-89.30386
DSCN7056.jpg,LM3,29.23283,-89.1853
DSCN7057.jpg,RD 15,29.18893,-89.30386
DSCN7058.jpg,LM3,29.23283,-89.1853
DSCN7059.jpg,RD 15,29.18893,-89.30386
DSCN7060.jpg,LM3,29.23283,-89.1853
DSCN7061.jpg,LM3,29.23283,-89.1853
DSCN7062.jpg,LM3,29.23283,-89.1853
DSCN7063.jpg,LM3,29.23283,-89.1853
DSCN7064.jpg,LM3,29.23283,-89.1853
DSCN7065.jpg,LM3,29.23283,-89.1853
DSCN7066.jpg,JC 4,29.12454,-89.15278
DSCN7068.jpg,JC 4,29.12454,-89.15278
DSCN7069.jpg,JC 4,29.12454,-89.15278
DSCN7070.jpg,JC 4,29.12454,-89.15278
DSCN7071.jpg,JC 4,29.12454,-89.15278
DSCN7073.jpg,JC 4,29.12454,-89.15278
DSCN7074.jpg,JC 4,29.12454,-89.15278
DSCN7075.jpg,JC 4,29.12454,-89.15278
DSCN7076.jpg,AN 2,29.10388,-89.2392
DSCN7077.jpg,AN 2,29.10388,-89.2392
DSCN7078.jpg,AN 2,29.10388,-89.2392
DSCN7079.jpg,AN 2,29.10388,-89.2392
DSCN7080.jpg,AN 2,29.10388,-89.2392
DSCN7081.jpg,AN 2,29.10388,-89.2392
DSCN7082.jpg,AN 2,29.10388,-89.2392
DSCN7083.jpg,AN 2,29.10388,-89.2392
DSCN7084.jpg,JC 4,29.12454,-89.15278
DSCN7085.jpg,JC 4,29.12454,-89.15278
DSCN7086.jpg,JC 4,29.12454,-89.15278
DSCN7087.jpg,AN 2,29.10388,-89.2392
DSCN7088.jpg,AN 2,29.10388,-89.2392
DSCN7089.jpg,AN 2,29.10388,-89.2392
DSCN7090.jpg,AN 2,29.10388,-89.2392
DSCN7091.jpg,RD 14,29.17219,-89.28651
DSCN7092.jpg,RD 14,29.17219,-89.28651
DSCN7093.jpg,RD 10.1,28.99924,-89.36678
DSCN7095.jpg,RD 14,29.17219,-89.28651
DSCN7096.jpg,RD10.1,28.99924,-89.36678
DSCN7098.jpg,RD 14,29.17219,-89.28651
DSCN7099.jpg,RD 10.1,28.99924,-89.36678
DSCN7100.jpg,JC 1.1,29.16379,-89.13515
DSCN7101.jpg,JC 1.1,29.16379,-89.13515
DSCN7102.jpg,JC 1.1,29.16379,-89.13515
DSCN7103.jpg,JC 1.1,29.16379,-89.13515
DSCN7104.jpg,JC 1.1,29.16379,-89.13515
DSCN7105.jpg,AN 5.1,28.99694,-89.15366
DSCN7106.jpg,AN 5.1,28.99694,-89.15366
DSCN7107.jpg,AN 5.1,28.99694,-89.15366
DSCN7108.jpg,AN 5.1,28.99694,-89.15366
DSCN7109.jpg,AN 5.1,28.99694,-89.15366
DSCN7110.jpg,AN 5.1,28.99694,-89.15366
DSCN7111.jpg,AN 5.1,28.99694,-89.15366
DSCN7112.jpg,AN 5.1,28.99694,-89.15366
DSCN7113.jpg,AN 5.1,28.99694,-89.15366
DSCN7115.jpg,AN 5.1,28.99694,-89.15366
DSCN7116.jpg,JC 1.1,29.16379,-89.13515
DSCN7117.jpg,JC 1.1,29.16379,-89.13515
DSCN7118.jpg,RD 14,29.17219,-89.28651
DSCN7119.jpg,RD 14,29.17219,-89.28651
DSCN7120.jpg,RD 14,29.17219,-89.28651
DSCN7121.jpg,RD 14,29.17219,-89.28651
DSCN7122.jpg,RD 14,29.17219,-89.28651
DSCN7123.jpg,RD 14,29.17219,-89.28651
DSCN7124.jpg,RD 14,29.17219,-89.28651
DSCN7125.jpg,JC 6,29.13644,-89.19331
DSCN7126.jpg,JC 6,29.13644,-89.19331
DSCN7127.jpg,JC 6,29.13644,-89.19331
DSCN7128.jpg,JC 3.2,29.11398,-89.13481
DSCN7129.jpg,JC 6,29.13644,-89.19331
DSCN7130.jpg,JC 6,29.13644,-89.19331
DSCN7131.jpg,JC 3.2,29.11398,-89.13481
